SiteCode,MT,MTLabel,MTGroup,DateOut,NetSTN,BillCustomerType
27,200,Recycle,RECYCLE,2022-08-31,4.55,Contained
27,200,Recycle,RECYCLE,2022-08-31,3.19,Contained
27,100,Refuse,REFUSE,2022-08-31,8.51,Contained
27,100,Refuse,REFUSE,2022-08-31,6,Contained
27,100,Refuse,REFUSE,2022-08-31,6.68,Contained
27,100,Refuse,REFUSE,2022-08-31,6.96,Contained
27,200,Recycle,RECYCLE,2022-08-31,2.13,Special Ops
27,200,Recycle,RECYCLE,2022-08-31,3.65,Contained
NG,100,Refuse,REFUSE,2022-08-31,6.79,Uncontained
27,100,Refuse,REFUSE,2022-08-31,8.25,Contained
NG,100,Refuse,REFUSE,2022-08-31,3.77,Uncontained
27,100,Refuse,REFUSE,2022-08-31,7.43,Contained
27,100,Refuse,REFUSE,2022-08-31,8.48,Contained
27,100,Refuse,REFUSE,2022-08-31,10.89,Contained
27,200,Recycle,RECYCLE,2022-08-31,7.17,Contained
27,200,Recycle,RECYCLE,2022-08-31,1.77,Special Ops
27,100,Refuse,REFUSE,2022-08-31,6.94,Contained
27,100,Refuse,REFUSE,2022-08-31,7.29,Contained
27,100,Refuse,REFUSE,2022-08-31,2.72,Contained
27,200,Recycle,RECYCLE,2022-08-31,0.81,Special Ops
27,200,Recycle,RECYCLE,2022-08-31,0.64,Contained
27,100,Refuse,REFUSE,2022-08-31,10.5,Contained
NG,100,Refuse,REFUSE,2022-08-31,7.03,Uncontained
27,100,Refuse,REFUSE,2022-08-31,9.61,Contained
NG,100,Refuse,REFUSE,2022-08-31,12.03,Contained
27,100,Refuse,REFUSE,2022-08-31,6.66,Contained
NG,100,Refuse,REFUSE,2022-08-31,2.02,Special Ops
NG,200,Recycle,RECYCLE,2022-08-31,3.49,Reciprocal
NG,100,Refuse,REFUSE,2022-08-31,1.08,AR
NG,100,Refuse,REFUSE,2022-08-31,1.02,AR
NG,200,Recycle,RECYCLE,2022-08-31,2.87,Reciprocal
27,100,Refuse,REFUSE,2022-08-31,1.68,AR
NG,100,Refuse,REFUSE,2022-08-31,1.2,Reciprocal
27,100,Refuse,REFUSE,2022-08-31,8.97,Contained
27,300,Green,GREEN,2022-08-31,3.65,AR
27,100,Refuse,REFUSE,2022-08-31,1.88,AR
27,100,Refuse,REFUSE,2022-08-31,3.89,Uncontained
27,100,Refuse,REFUSE,2022-08-31,10.08,Contained
27,100,Refuse,REFUSE,2022-08-31,7.28,Contained
27,100,Refuse,REFUSE,2022-08-31,4.02,AR
27,200,Recycle,RECYCLE,2022-08-31,6.62,Contained
NG,100,Refuse,REFUSE,2022-08-31,1.44,AR
27,100,Refuse,REFUSE,2022-08-31,6.78,Uncontained
NG,200,Recycle,RECYCLE,2022-08-31,4.61,Reciprocal
27,100,Refuse,REFUSE,2022-08-31,9.57,Contained
NG,100,Refuse,REFUSE,2022-08-31,13.02,Reciprocal
NG,100,Refuse,REFUSE,2022-08-31,0.71,AR
27,100,Refuse,REFUSE,2022-08-31,5.43,Contained
27,200,Recycle,RECYCLE,2022-08-31,1.92,Contained
NG,200,Recycle,RECYCLE,2022-08-31,0.54,Reciprocal
NG,100,Refuse,REFUSE,2022-08-31,0.42,AR
27,100,Refuse,REFUSE,2022-08-31,1.47,Non-Profit
NG,200,Recycle,RECYCLE,2022-08-31,3.43,Reciprocal
27,100,Refuse,REFUSE,2022-08-31,1.8,AR
27,100,Refuse,REFUSE,2022-08-31,8,Contained
27,200,Recycle,RECYCLE,2022-08-31,2.12,Contained
NG,200,Recycle,RECYCLE,2022-08-31,3.72,Reciprocal
27,200,Recycle,RECYCLE,2022-08-31,3.45,Contained
27,200,Recycle,RECYCLE,2022-08-31,3.85,Contained
27,100,Refuse,REFUSE,2022-08-31,9.49,Contained
NG,100,Refuse,REFUSE,2022-08-31,10.99,Reciprocal
NG,100,Refuse,REFUSE,2022-08-31,3.39,Non-Profit
NG,100,Refuse,REFUSE,2022-08-31,0.96,AR
NG,200,Recycle,RECYCLE,2022-08-31,3.51,Reciprocal
27,100,Refuse,REFUSE,2022-08-31,6.44,Contained
27,200,Recycle,RECYCLE,2022-08-31,4.57,Contained
27,300,Green,GREEN,2022-08-31,5.71,Contained
27,100,Refuse,REFUSE,2022-08-31,3.07,Contained
27,200,Recycle,RECYCLE,2022-08-31,3.46,Contained
27,300,Green,GREEN,2022-08-31,7.47,Contained
27,100,Refuse,REFUSE,2022-08-31,8.96,Contained
NG,100,Refuse,REFUSE,2022-08-31,1.75,AR
NG,200,Recycle,RECYCLE,2022-08-31,19.62,AR
NG,100,Refuse,REFUSE,2022-08-31,0.86,AR
NG,100,Refuse,REFUSE,2022-08-31,0.61,AR
27,100,Refuse,REFUSE,2022-08-31,2.36,AR
NG,200,Recycle,RECYCLE,2022-08-31,3.25,Reciprocal
