SiteCode,MT,MTLabel,MTGroup,DateOut,NetSTN,BillCustomerType
27,100,Refuse,REFUSE,2021-03-06,0.91,Commercial
27,100,Refuse,REFUSE,2021-03-06,0.41,Residential
NG,100,Refuse,REFUSE,2021-03-06,0.5,Commercial
NG,100,Refuse,REFUSE,2021-03-06,0.22,Commercial
NG,300,Green,GREEN,2021-03-06,0.89,Commercial
NG,100,Refuse,REFUSE,2021-03-06,1.08,Commercial
NG,100,Refuse,REFUSE,2021-03-06,1.57,Commercial
NG,100,Refuse,REFUSE,2021-03-06,0.32,Commercial
NG,100,Refuse,REFUSE,2021-03-06,1.94,Commercial
NG,100,Refuse,REFUSE,2021-03-06,1.55,Commercial
NG,100,Refuse,REFUSE,2021-03-06,0.94,Commercial
NG,300,Green,GREEN,2021-03-06,1.24,Commercial
NG,100,Refuse,REFUSE,2021-03-06,0.56,Commercial
NG,100,Refuse,REFUSE,2021-03-06,0.13,Commercial
NG,100,Refuse,REFUSE,2021-03-06,0.11,Commercial
27,100,Refuse,REFUSE,2021-03-06,0.56,Commercial
NG,100,Refuse,REFUSE,2021-03-06,1.4,Commercial
27,100,Refuse,REFUSE,2021-03-06,0.04,Commercial
NG,100,Refuse,REFUSE,2021-03-06,0.28,Commercial
NG,100,Refuse,REFUSE,2021-03-06,0.7,Commercial
NG,100,Refuse,REFUSE,2021-03-06,1.52,Commercial
27,300,Green,GREEN,2021-03-06,0.38,Commercial
NG,100,Refuse,REFUSE,2021-03-06,0.34,Commercial
NG,100,Refuse,REFUSE,2021-03-06,0.93,Commercial
27,100,Refuse,REFUSE,2021-03-06,1.45,Commercial
27,100,Refuse,REFUSE,2021-03-06,0.93,Commercial
NG,100,Refuse,REFUSE,2021-03-06,1.19,Commercial
27,100,Refuse,REFUSE,2021-03-06,1.53,Commercial
27,100,Refuse,REFUSE,2021-03-06,1.66,Commercial
NG,100,Refuse,REFUSE,2021-03-06,0.77,Commercial
27,100,Refuse,REFUSE,2021-03-06,0.47,Commercial
NG,100,Refuse,REFUSE,2021-03-06,2.7,Residential
NG,100,Refuse,REFUSE,2021-03-06,0.74,Commercial
27,100,Refuse,REFUSE,2021-03-06,0.88,Commercial
NG,100,Refuse,REFUSE,2021-03-06,0.42,Commercial
NG,100,Refuse,REFUSE,2021-03-06,4.83,Residential
27,100,Refuse,REFUSE,2021-03-06,9.08,Uncontained
27,100,Refuse,REFUSE,2021-03-06,10.12,Uncontained
27,100,Refuse,REFUSE,2021-03-06,4.71,Uncontained
27,100,Refuse,REFUSE,2021-03-06,9.29,Uncontained
27,100,Refuse,REFUSE,2021-03-06,6.3,Uncontained
27,100,Refuse,REFUSE,2021-03-06,5.2,Uncontained
27,100,Refuse,REFUSE,2021-03-06,7.42,Uncontained
27,100,Refuse,REFUSE,2021-03-06,6.65,Uncontained
27,100,Refuse,REFUSE,2021-03-06,8.13,Uncontained
27,100,Refuse,REFUSE,2021-03-06,3.47,Uncontained
27,100,Refuse,REFUSE,2021-03-06,8.11,Uncontained
NG,200,Recycle,RECYCLE,2021-03-06,2.74,Reciprocal
27,100,Refuse,REFUSE,2021-03-06,7.79,Uncontained
27,100,Refuse,REFUSE,2021-03-06,8.84,Uncontained
27,100,Refuse,REFUSE,2021-03-06,9.89,Uncontained
NG,100,Refuse,REFUSE,2021-03-06,14.17,Special Ops
27,300,Green,GREEN,2021-03-06,2.01,Special Ops
NG,100,Refuse,REFUSE,2021-03-06,0.98,Special Ops
NG,200,Recycle,RECYCLE,2021-03-06,0.58,Special Ops
NG,100,Refuse,REFUSE,2021-03-06,3.26,Special Ops
27,300,Green,GREEN,2021-03-06,2.47,Special Ops
27,100,Refuse,REFUSE,2021-03-06,7.98,Special Ops
27,100,Refuse,REFUSE,2021-03-06,10.66,Special Ops
NG,200,Recycle,RECYCLE,2021-03-06,0.77,Special Ops
27,100,Refuse,REFUSE,2021-03-06,7.1,Special Ops
NG,200,Recycle,RECYCLE,2021-03-06,0.96,Special Ops
27,200,Recycle,RECYCLE,2021-03-06,0.4,Special Ops
27,100,Refuse,REFUSE,2021-03-06,5.23,Special Ops
27,100,Refuse,REFUSE,2021-03-06,2.34,Special Ops
NG,100,Refuse,REFUSE,2021-03-06,4.43,Special Ops
27,100,Refuse,REFUSE,2021-03-06,10.05,Special Ops
27,100,Refuse,REFUSE,2021-03-06,3.24,Special Ops
27,100,Refuse,REFUSE,2021-03-06,0.94,Special Ops
NG,100,Refuse,REFUSE,2021-03-06,2.17,Special Ops
NG,100,Refuse,REFUSE,2021-03-06,0.86,Special Ops
27,100,Refuse,REFUSE,2021-03-05,2.11,Special Ops
NG,100,Refuse,REFUSE,2021-03-05,0.22,AR
27,200,Recycle,RECYCLE,2021-03-05,7.32,Contained
27,200,Recycle,RECYCLE,2021-03-05,1.01,Contained
27,200,Recycle,RECYCLE,2021-03-05,2.98,Contained
27,200,Recycle,RECYCLE,2021-03-05,3.09,Contained
27,100,Refuse,REFUSE,2021-03-05,4.85,Contained
27,100,Refuse,REFUSE,2021-03-05,12.24,Special Ops
NG,100,Refuse,REFUSE,2021-03-05,7.66,Uncontained
27,200,Recycle,RECYCLE,2021-03-05,3.96,AR
27,200,Recycle,RECYCLE,2021-03-05,3.55,AR
27,100,Refuse,REFUSE,2021-03-05,8.34,Contained
27,100,Refuse,REFUSE,2021-03-05,3.42,Contained
27,200,Recycle,RECYCLE,2021-03-05,6.26,Contained
27,200,Recycle,RECYCLE,2021-03-05,6.15,Contained
27,100,Refuse,REFUSE,2021-03-05,2.86,Contained
27,100,Refuse,REFUSE,2021-03-05,7.55,Contained
27,100,Refuse,REFUSE,2021-03-05,9.42,Contained
27,200,Recycle,RECYCLE,2021-03-05,5.59,Contained
27,100,Refuse,REFUSE,2021-03-05,5.6,Contained
27,200,Recycle,RECYCLE,2021-03-05,1.3,Contained
27,200,Recycle,RECYCLE,2021-03-05,3.29,Contained
27,200,Recycle,RECYCLE,2021-03-05,5.78,Contained
27,200,Recycle,RECYCLE,2021-03-05,2.33,AR
27,100,Refuse,REFUSE,2021-03-05,4.78,Special Ops
27,200,Recycle,RECYCLE,2021-03-05,1.86,AR
27,200,Recycle,RECYCLE,2021-03-05,1.78,Special Ops
27,100,Refuse,REFUSE,2021-03-05,9.44,Contained
27,100,Refuse,REFUSE,2021-03-05,9.56,Contained
