SiteCode,MT,MTLabel,MTGroup,DateOut,NetSTN,BillCustomerType
27,100,Refuse,REFUSE,2022-10-31,7.08,Reciprocal
27,100,Refuse,REFUSE,2022-10-31,0.97,Reciprocal
27,100,Refuse,REFUSE,2022-10-31,7.41,Reciprocal
27,100,Refuse,REFUSE,2022-10-31,4.91,Reciprocal
27,100,Refuse,REFUSE,2022-10-31,9.33,Reciprocal
NG,100,Refuse,REFUSE,2022-10-31,11.14,Contained
NG,100,Refuse,REFUSE,2022-10-31,10.23,Contained
NG,200,Recycle,RECYCLE,2022-10-31,3.58,Contained
NG,200,Recycle,RECYCLE,2022-10-31,3.01,Contained
NG,100,Refuse,REFUSE,2022-10-31,10.62,Contained
NG,200,Recycle,RECYCLE,2022-10-31,4.55,Contained
NG,100,Refuse,REFUSE,2022-10-31,5.24,Contained
27,100,Refuse,REFUSE,2022-10-31,0.64,Reciprocal
27,100,Refuse,REFUSE,2022-10-31,0.98,Reciprocal
27,100,Refuse,REFUSE,2022-10-31,11.68,Reciprocal
NG,200,Recycle,RECYCLE,2022-10-31,0.87,Contained
27,100,Refuse,REFUSE,2022-10-31,4.85,Reciprocal
27,100,Refuse,REFUSE,2022-10-31,9.49,Reciprocal
27,100,Refuse,REFUSE,2022-10-31,5.81,Reciprocal
27,100,Refuse,REFUSE,2022-10-31,1.51,Reciprocal
27,100,Refuse,REFUSE,2022-10-31,1.34,Reciprocal
27,100,Refuse,REFUSE,2022-10-31,4.78,Special Ops
NG,100,Refuse,REFUSE,2022-10-31,4.71,Contained
27,100,Refuse,REFUSE,2022-10-31,8.48,Reciprocal
NG,100,Refuse,REFUSE,2022-10-31,7.33,Contained
SR,100,Refuse,REFUSE,2022-10-31,10.24,AR
27,100,Refuse,REFUSE,2022-10-31,1.64,Reciprocal
NG,200,Recycle,RECYCLE,2022-10-31,14.48,AR
27,100,Refuse,REFUSE,2022-10-31,8.4,Reciprocal
NG,200,Recycle,RECYCLE,2022-10-31,3.51,AR
27,100,Refuse,REFUSE,2022-10-31,2.38,Reciprocal
27,100,Refuse,REFUSE,2022-10-31,1.33,Reciprocal
27,100,Refuse,REFUSE,2022-10-31,1.41,Reciprocal
27,100,Refuse,REFUSE,2022-10-31,10.04,Reciprocal
NG,200,Recycle,RECYCLE,2022-10-31,3.5,AR
27,100,Refuse,REFUSE,2022-10-31,0.76,Reciprocal
27,100,Refuse,REFUSE,2022-10-31,1.81,Reciprocal
27,100,Refuse,REFUSE,2022-10-31,1.99,Reciprocal
NG,200,Recycle,RECYCLE,2022-10-31,3.31,AR
27,100,Refuse,REFUSE,2022-10-31,13.31,Reciprocal
27,100,Refuse,REFUSE,2022-10-31,0.98,Reciprocal
27,100,Refuse,REFUSE,2022-10-31,2.12,Reciprocal
27,100,Refuse,REFUSE,2022-10-31,9.27,Reciprocal
NG,200,Recycle,RECYCLE,2022-10-31,4.05,Contained
NG,200,Recycle,RECYCLE,2022-10-31,4.47,Contained
NG,100,Refuse,REFUSE,2022-10-31,7.09,Contained
NG,100,Refuse,REFUSE,2022-10-31,7.88,Contained
NG,100,Refuse,REFUSE,2022-10-31,5.94,Contained
NG,100,Refuse,REFUSE,2022-10-31,8.75,Contained
NG,200,Recycle,RECYCLE,2022-10-31,5.1,Contained
NG,100,Refuse,REFUSE,2022-10-31,2.32,Contained
NG,100,Refuse,REFUSE,2022-10-31,7.89,Uncontained
NG,200,Recycle,RECYCLE,2022-10-31,1.56,Contained
NG,100,Refuse,REFUSE,2022-10-31,9.5,Contained
27,100,Refuse,REFUSE,2022-10-31,0.13,Special Ops
27,100,Refuse,REFUSE,2022-10-31,0.8,Reciprocal
27,100,Refuse,REFUSE,2022-10-31,2.46,Reciprocal
27,100,Refuse,REFUSE,2022-10-31,11.06,Reciprocal
27,100,Refuse,REFUSE,2022-10-31,7.56,Reciprocal
27,100,Refuse,REFUSE,2022-10-31,0.74,Reciprocal
27,100,Refuse,REFUSE,2022-10-31,7.91,Reciprocal
27,100,Refuse,REFUSE,2022-10-31,9.52,Reciprocal
