SiteCode,MT,MTLabel,MTGroup,DateOut,NetSTN,BillCustomerType
27,300,Green,GREEN,2022-02-28,1.94,AR
NG,100,Refuse,REFUSE,2022-02-28,0.53,Commercial
27,100,Refuse,REFUSE,2022-02-28,0.61,Commercial
27,100,Refuse,REFUSE,2022-02-28,1.17,Commercial
27,100,Refuse,REFUSE,2022-02-28,1.57,Non-Profit
27,100,Refuse,REFUSE,2022-02-28,1.82,Commercial
27,100,Refuse,REFUSE,2022-02-28,0.55,Commercial
NG,100,Refuse,REFUSE,2022-02-28,0.91,Commercial
NG,100,Refuse,REFUSE,2022-02-28,0.44,Commercial
NG,100,Refuse,REFUSE,2022-02-28,0.96,Commercial
NG,100,Refuse,REFUSE,2022-02-28,1.88,Commercial
NG,100,Refuse,REFUSE,2022-02-28,0.57,Commercial
NG,100,Refuse,REFUSE,2022-02-28,0.13,Commercial
NG,100,Refuse,REFUSE,2022-02-28,0.25,Commercial
27,100,Refuse,REFUSE,2022-02-28,0.66,Commercial
NG,100,Refuse,REFUSE,2022-02-28,0.79,Commercial
27,100,Refuse,REFUSE,2022-02-28,0.32,Commercial
27,100,Refuse,REFUSE,2022-02-28,0.47,Commercial
NG,100,Refuse,REFUSE,2022-02-28,0.64,Commercial
NG,100,Refuse,REFUSE,2022-02-28,0.83,Commercial
27,100,Refuse,REFUSE,2022-02-28,1.79,Commercial
NG,100,Refuse,REFUSE,2022-02-28,0.35,Residential
NG,100,Refuse,REFUSE,2022-02-28,2.33,Commercial
NG,100,Refuse,REFUSE,2022-02-28,0.74,Commercial
NG,100,Refuse,REFUSE,2022-02-28,1.19,Commercial
NG,100,Refuse,REFUSE,2022-02-28,0.68,Commercial
NG,100,Refuse,REFUSE,2022-02-28,6.85,Other Dept
27,100,Refuse,REFUSE,2022-02-28,1.24,Commercial
NG,100,Refuse,REFUSE,2022-02-28,3.57,Commercial
NG,100,Refuse,REFUSE,2022-02-28,1.22,Commercial
NG,100,Refuse,REFUSE,2022-02-28,1.45,Commercial
