NetSTN,GREEN,LANDFILL,RECYCLE,REFUSE,AR,Commercial,Contained,Non-Profit,Other,Other Dept,Reciprocal,Residential,Special Ops,Uncontained,DateOut
8.65,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4423 
8.19,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4423 
8.94,0,0,0,1,0,0,0,0,0,0,1,0,0,0,4423 
9.83,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4423 
3.21,0,0,1,0,0,0,1,0,0,0,0,0,0,0,4423 
3.97,0,0,1,0,0,0,1,0,0,0,0,0,0,0,4423 
3.52,0,0,1,0,0,0,1,0,0,0,0,0,0,0,4423 
4.47,0,0,1,0,0,0,1,0,0,0,0,0,0,0,4423 
10.69,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4423 
2.67,0,0,1,0,0,0,0,0,0,0,1,0,0,0,4423 
1.05,1,0,0,0,1,0,0,0,0,0,0,0,0,0,4423 
4.38,0,0,1,0,0,0,0,0,0,0,1,0,0,0,4423 
4.84,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4423 
4.73,0,0,1,0,0,0,1,0,0,0,0,0,0,0,4423 
12.07,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4423 
1.16,0,0,0,1,1,0,0,0,0,0,0,0,0,0,4423 
10.45,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4423 
8.43,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4423 
9.67,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4423 
0.91,0,0,1,0,0,0,0,0,0,0,1,0,0,0,4423 
2.65,0,0,1,0,0,0,1,0,0,0,0,0,0,0,4423 
2.98,0,0,0,1,1,0,0,0,0,0,0,0,0,0,4423 
8.89,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4423 
8.03,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4423 
10.39,0,0,0,1,0,0,0,0,0,0,1,0,0,0,4423 
11.12,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4423 
2.8,0,0,1,0,0,0,1,0,0,0,0,0,0,0,4423 
8.84,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4423 
8.47,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4423 
10.53,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4423 
5.67,0,0,1,0,0,0,1,0,0,0,0,0,0,0,4423 
0.65,0,0,0,1,1,0,0,0,0,0,0,0,0,0,4423 
9.04,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4423 
25.34,0,1,0,0,0,0,0,0,0,1,0,0,0,0,4423 
4.51,1,0,0,0,0,0,1,0,0,0,0,0,0,0,4423 
2.29,0,0,1,0,0,0,1,0,0,0,0,0,0,0,4423 
2.6,0,0,1,0,0,0,1,0,0,0,0,0,0,0,4423 
8.9,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4423 
0.93,0,0,0,1,1,0,0,0,0,0,0,0,0,0,4423 
