Charge Year,Month Name,Month Date,Customer Class,Consumption
2008,August,Aug 2008,Other,151784
2008,September,Sep 2008,Residential,1367644
2008,September,Sep 2008,Commercial,1070028
2008,September,Sep 2008,Interdepartmental,138814
2008,September,Sep 2008,Other,140008
2008,October,Oct 2008,Residential,1306160
2008,October,Oct 2008,Commercial,974719
2008,October,Oct 2008,Interdepartmental,112028
2008,October,Oct 2008,Other,121851
2008,November,Nov 2008,Interdepartmental,67541
2008,November,Nov 2008,Other,113573
2008,November,Nov 2008,Commercial,1052615
2008,November,Nov 2008,Residential,1282715
2008,December,Dec 2008,Other,77098
2008,December,Dec 2008,Interdepartmental,40950
2008,December,Dec 2008,Commercial,902078
2008,December,Dec 2008,Residential,1041058
2009,January,Jan 2009,Residential,842765
2009,January,Jan 2009,Commercial,721377
2009,January,Jan 2009,Other,48789
2009,January,Jan 2009,Interdepartmental,26502
2009,February,Feb 2009,Other,53343
2009,February,Feb 2009,Interdepartmental,22764
2009,February,Feb 2009,Commercial,721032
2009,February,Feb 2009,Residential,857322
2009,March,Mar 2009,Other,64107
2009,March,Mar 2009,Commercial,754506
2009,March,Mar 2009,Residential,940187
2009,March,Mar 2009,Interdepartmental,24377
2009,April,Apr 2009,Other,86449
2009,April,Apr 2009,Interdepartmental,38979
2009,April,Apr 2009,Commercial,859818
2009,April,Apr 2009,Residential,1154136
2009,May,May 2009,Residential,1292385
2009,May,May 2009,Commercial,911728
2009,May,May 2009,Other,102637
2009,May,May 2009,Interdepartmental,92001
2009,June,Jun 2009,Other,127580
2009,June,Jun 2009,Interdepartmental,153447
2009,June,Jun 2009,Commercial,1066310
2009,June,Jun 2009,Residential,1487603
2009,July,Jul 2009,Residential,1578219
2009,July,Jul 2009,Commercial,1158594
2009,July,Jul 2009,Interdepartmental,178499
2009,July,Jul 2009,Other,151516
2009,August,Aug 2009,Other,173465
2009,August,Aug 2009,Interdepartmental,185207
2009,August,Aug 2009,Residential,1543666
2009,August,Aug 2009,Commercial,1171634
2009,September,Sep 2009,Residential,1488468
2009,September,Sep 2009,Commercial,1158908
2009,September,Sep 2009,Interdepartmental,169481
2009,September,Sep 2009,Other,159602
2009,October,Oct 2009,Other,130496
2009,October,Oct 2009,Commercial,1024563
2009,October,Oct 2009,Interdepartmental,138129
2009,October,Oct 2009,Residential,1370278
2009,November,Nov 2009,Residential,1252411
2009,November,Nov 2009,Commercial,1000940
2009,November,Nov 2009,Interdepartmental,120154
2009,November,Nov 2009,Other,107583
2009,December,Dec 2009,Other,82202
2009,December,Dec 2009,Commercial,888180
2009,December,Dec 2009,Interdepartmental,45987
2009,December,Dec 2009,Residential,1081005
2010,January,Jan 2010,Commercial,738550
2010,January,Jan 2010,Interdepartmental,26832
2010,January,Jan 2010,Residential,922930
2010,January,Jan 2010,Other,56245
2010,February,Feb 2010,Residential,792654
2010,February,Feb 2010,Commercial,648277
2010,February,Feb 2010,Interdepartmental,18004
2010,February,Feb 2010,Other,47198
2010,March,Mar 2010,Residential,823980
2010,March,Mar 2010,Commercial,691399
2010,March,Mar 2010,Interdepartmental,16686
2010,March,Mar 2010,Other,48160
2010,April,Apr 2010,Interdepartmental,24213
2010,April,Apr 2010,Other,66064
2010,April,Apr 2010,Commercial,707122
2010,April,Apr 2010,Residential,972233
2010,May,May 2010,Residential,1207253
2010,May,May 2010,Commercial,834179
2010,May,May 2010,Interdepartmental,83822
2010,May,May 2010,Other,102266
2010,June,Jun 2010,Residential,1457623
2010,June,Jun 2010,Commercial,1021191
2010,June,Jun 2010,Interdepartmental,169184
2010,June,Jun 2010,Other,138255
2010,July,Jul 2010,Other,173818
2010,July,Jul 2010,Interdepartmental,213112
2010,July,Jul 2010,Commercial,1145801
2010,July,Jul 2010,Residential,1590580
2010,August,Aug 2010,Other,166932
2010,August,Aug 2010,Interdepartmental,197877
2010,August,Aug 2010,Commercial,1118896
2010,August,Aug 2010,Residential,1407728
2010,September,Sep 2010,Other,149424
2010,September,Sep 2010,Commercial,1042204
2010,September,Sep 2010,Residential,1336298
2010,September,Sep 2010,Interdepartmental,151726
2010,October,Oct 2010,Residential,1217376
2010,October,Oct 2010,Commercial,924067
2010,October,Oct 2010,Interdepartmental,133770
2010,October,Oct 2010,Other,126142
2010,November,Nov 2010,Other,98681
2010,November,Nov 2010,Interdepartmental,66693
2010,November,Nov 2010,Residential,1116556
