Month Date,Month,Year,Amount Type,Amount,Customer Type,Customer Count
09/01/2017,Sep,2017,Other Public Authority Therms,172774,Other Public Authority Count,113
09/01/2017,Sep,2017,Residential Therms,473449,Residential Count,59512
10/01/2017,Oct,2017,Commercial Therms,864225,Commercial Count,2266
10/01/2017,Oct,2017,Interdepartmental Therms,20069,Interdepartmental Count,115
10/01/2017,Oct,2017,Other Public Authority Therms,228485,Other Public Authority Count,113
10/01/2017,Oct,2017,Residential Therms,564541,Residential Count,59743
11/01/2017,Nov,2017,Commercial Therms,982575,Commercial Count,2265
11/01/2017,Nov,2017,Interdepartmental Therms,19782,Interdepartmental Count,115
11/01/2017,Nov,2017,Other Public Authority Therms,253371,Other Public Authority Count,112
11/01/2017,Nov,2017,Residential Therms,735481,Residential Count,60346
12/01/2017,Dec,2017,Commercial Therms,1194108,Commercial Count,2277
12/01/2017,Dec,2017,Interdepartmental Therms,20999,Interdepartmental Count,115
12/01/2017,Dec,2017,Other Public Authority Therms,251168,Other Public Authority Count,112
12/01/2017,Dec,2017,Residential Therms,1206023,Residential Count,60772
01/01/2018,Jan,2018,Commercial Therms,1464076,Commercial Count,2281
01/01/2018,Jan,2018,Interdepartmental Therms,46969,Interdepartmental Count,114
01/01/2018,Jan,2018,Other Public Authority Therms,288736,Other Public Authority Count,112
01/01/2018,Jan,2018,Residential Therms,2266780,Residential Count,60942
02/01/2018,Feb,2018,Commercial Therms,1433611,Commercial Count,2283
02/01/2018,Feb,2018,Interdepartmental Therms,40184,Interdepartmental Count,116
02/01/2018,Feb,2018,Other Public Authority Therms,298637,Other Public Authority Count,112
02/01/2018,Feb,2018,Residential Therms,1915856,Residential Count,61484
03/01/2018,Mar,2018,Commercial Therms,1518253,Commercial Count,2269
03/01/2018,Mar,2018,Interdepartmental Therms,48688,Interdepartmental Count,114
03/01/2018,Mar,2018,Other Public Authority Therms,284006,Other Public Authority Count,112
03/01/2018,Mar,2018,Residential Therms,2041405,Residential Count,61434
04/01/2018,Apr,2018,Commercial Therms,1244471,Commercial Count,2274
04/01/2018,Apr,2018,Interdepartmental Therms,32610,Interdepartmental Count,115
04/01/2018,Apr,2018,Other Public Authority Therms,245116,Other Public Authority Count,112
04/01/2018,Apr,2018,Residential Therms,1161747,Residential Count,61461
05/01/2018,May,2018,Commercial Therms,1058059,Commercial Count,2291
05/01/2018,May,2018,Interdepartmental Therms,20655,Interdepartmental Count,115
05/01/2018,May,2018,Other Public Authority Therms,204430,Other Public Authority Count,114
