Date,Site_int,Month_int,SolarProductionDemand,Solar Production,TotalEnergyUsageAcrossSites
2015-09-01,6,11,91.0,25482.0,49585.0
2015-09-01,7,11,267.0,5890.0,23326.0
2015-10-01,0,10,624.0,38426.0,275468.0
2015-10-01,1,10,81.0,26996.0,39825.0
2015-10-01,2,10,35.0,0.0,13242.0
2015-10-01,3,10,40.0,1706.0,16952.0
2015-10-01,4,10,101.0,34522.0,41517.0
2015-10-01,5,10,290.0,32347.0,102542.0
2015-10-01,6,10,79.0,23547.0,43040.0
2015-10-01,7,10,267.0,5784.0,23222.0
2015-11-01,0,9,441.0,33643.0,201687.0
2015-11-01,1,9,69.0,20405.0,31780.0
2015-11-01,2,9,29.0,0.0,8244.0
2015-11-01,3,9,23.0,1577.0,10259.0
2015-11-01,4,9,80.0,31446.0,32957.0
2015-11-01,5,9,189.0,27282.0,44500.0
2015-11-01,6,9,73.0,17975.0,33556.0
2015-11-01,7,9,266.0,3127.0,21481.0
2015-12-01,0,2,455.5,27088.0,228618.0
2015-12-01,1,2,70.0,17653.0,32675.0
2015-12-01,2,2,39.0,0.0,9380.0
2015-12-01,3,2,27.0,1193.0,10904.0
2015-12-01,4,2,90.0,26019.0,36357.0
2015-12-01,5,2,181.0,21819.0,46345.0
2015-12-01,6,2,56.0,15702.0,30362.0
2015-12-01,7,2,262.0,2265.0,12644.0
2016-01-01,0,4,470.0,30270.0,220205.0
2016-01-01,1,4,74.0,15798.0,35303.0
2016-01-01,2,4,30.0,0.0,9536.0
2016-01-01,3,4,23.0,1389.0,10623.0
2016-01-01,4,4,83.0,27805.0,33928.0
2016-01-01,5,4,170.0,24118.0,65552.0
2016-01-01,6,4,64.0,13033.0,30577.0
2016-01-01,7,4,270.0,2261.0,11100.0
2016-02-01,0,3,431.0,38586.0,205618.0
2016-02-01,1,3,76.0,20098.0,31389.0
2016-02-01,2,3,31.0,0.0,8210.0
2016-02-01,3,3,26.0,1795.0,10068.0
2016-02-01,4,3,84.0,35716.0,35716.0
2016-02-01,5,3,211.0,31388.0,71560.0
2016-02-01,6,3,64.0,17040.0,29879.0
2016-02-01,7,3,274.0,2768.0,22646.0
2016-03-01,0,7,465.0,50749.0,231031.0
2016-03-01,1,7,62.0,26141.0,30355.0
2016-03-01,2,7,24.0,0.0,8702.0
2016-03-01,3,7,26.0,2122.0,11037.0
2016-03-01,4,7,73.0,43474.0,43474.0
2016-03-01,5,7,212.0,41220.0,84070.0
2016-03-01,6,7,62.0,21932.0,32383.0
2016-03-01,7,7,272.0,2821.0,17055.0
2016-04-01,0,0,477.0,59156.0,227479.0
2016-04-01,1,0,65.0,29850.0,31616.0
2016-04-01,2,0,33.0,0.0,9266.0
2016-04-01,3,0,36.0,2250.0,12629.0
2016-04-01,4,0,83.0,47649.0,47649.0
2016-04-01,5,0,213.0,48669.0,81099.0
2016-04-01,6,0,65.0,25381.0,31481.0
2016-04-01,7,0,270.0,3308.0,19999.0
2016-05-01,0,8,490.0,66496.0,250071.0
2016-05-01,1,8,70.0,36179.0,36179.0
2016-05-01,2,8,33.0,0.0,10561.0
2016-05-01,3,8,39.0,2427.0,18468.0
2016-05-01,4,8,87.0,53091.0,53091.0
2016-05-01,5,8,221.0,55425.0,31951.0
2016-05-01,6,8,72.0,30735.0,34120.0
2016-05-01,7,8,269.0,3730.0,23562.0
2016-06-01,0,6,566.0,65894.0,300967.0
2016-06-01,1,6,79.0,36703.0,36703.0
2016-06-01,2,6,43.0,0.0,14546.0
2016-06-01,3,6,47.0,2187.0,22143.0
2016-06-01,4,6,117.0,47371.0,47371.0
2016-06-01,5,6,221.0,52016.0,57508.0
2016-06-01,6,6,84.0,29753.0,39786.0
2016-06-01,7,6,266.0,3356.0,7348.0
2016-07-01,0,5,564.0,65461.0,321736.0
2016-07-01,1,5,87.0,35373.0,47224.0
2016-07-01,2,5,49.0,0.0,19012.0
2016-07-01,3,5,50.0,2201.0,25037.0
2016-07-01,4,5,118.0,48302.0,56985.0
2016-07-01,5,5,227.0,41441.0,86683.0
2016-07-01,6,5,90.0,0.0,49301.0
2016-07-01,7,5,267.0,3640.0,4572.0
2016-08-01,0,1,562.0,60455.0,314374.0
2016-08-01,1,1,97.0,29712.0,51489.0
2016-08-01,2,1,49.0,0.0,18299.0
2016-08-01,3,1,43.0,2165.0,23383.0
2016-08-01,4,1,102.0,45824.0,52505.0
2016-08-01,5,1,245.0,45867.0,86700.0
2016-08-01,6,1,80.0,9451.0,50012.0
2016-08-01,7,1,271.0,3254.0,19792.0
2016-09-01,0,11,435.0,48939.0,278900.0
2016-09-01,1,11,89.0,29712.0,48766.0
2016-09-01,2,11,42.0,0.0,13511.0
2016-09-01,3,11,43.0,1878.0,21500.0
2016-09-01,4,11,88.0,38887.0,43074.0
2016-09-01,5,11,218.0,38411.0,87817.0
2016-09-01,6,11,84.0,26265.0,44899.0
2016-09-01,7,11,269.0,2769.0,19599.0
2016-10-01,0,10,496.0,44020.0,251629.0
2016-10-01,1,10,84.0,26629.0,42702.0
2016-10-01,2,10,32.0,0.0,10364.0
2016-10-01,3,10,39.0,2212.0,19516.0
2016-10-01,4,10,101.0,36675.0,40789.0
2016-10-01,5,10,212.0,34864.0,119639.0
2016-10-01,6,10,80.0,21893.0,38696.0
2016-10-01,7,10,267.0,6646.0,24782.0
2016-11-01,0,9,455.0,33361.0,196419.0
2016-11-01,1,9,75.0,21912.0,37975.0
2016-11-01,2,9,29.0,0.0,8321.0
2016-11-01,3,9,34.0,1820.0,14360.0
2016-11-01,4,9,73.0,30052.0,32032.0
2016-11-01,5,9,188.0,26400.0,93332.0
2016-11-01,6,9,74.0,19602.0,37847.0
2016-11-01,7,9,269.0,6023.0,22988.0
2016-12-01,0,2,426.0,28264.0,205317.0
2016-12-01,1,2,65.0,18158.0,30063.0
2016-12-01,2,2,27.0,0.0,9050.0
2016-12-01,3,2,31.0,1432.0,11877.0
2016-12-01,4,2,67.0,25111.0,29688.0
2016-12-01,5,2,181.0,22071.0,90752.0
2016-12-01,6,2,63.0,15871.0,30801.0
2016-12-01,7,2,269.0,5193.0,9377.0
2017-01-01,0,4,436.0,26557.0,200616.0
2017-01-01,1,4,72.0,14123.0,31560.0
2017-01-01,2,4,34.0,0.0,9963.0
2017-01-01,3,4,28.0,1350.0,12540.0
2017-01-01,4,4,65.0,24442.0,30081.0
2017-01-01,5,4,166.0,21043.0,80920.0
2017-01-01,6,4,57.0,12774.0,30163.0
2017-01-01,7,4,268.0,4002.0,14230.0
2017-02-01,0,3,420.0,34265.0,175387.0
2017-02-01,1,3,75.0,17091.0,30633.0
2017-02-01,2,3,39.0,0.0,8481.0
2017-02-01,3,3,34.0,1768.0,11558.0
2017-02-01,4,3,66.0,23342.0,27288.0
2017-02-01,5,3,180.0,27743.0,62010.0
2017-02-01,6,3,60.0,13804.0,26647.0
2017-02-01,7,3,266.0,5454.0,22464.0
2017-03-01,0,7,446.0,51734.0,208203.0
2017-03-01,1,7,73.0,24611.0,31394.0
2017-03-01,2,7,33.0,0.0,10107.0
2017-03-01,3,7,35.0,2488.0,14192.0
2017-03-01,4,7,77.0,40592.0,40592.0
2017-03-01,5,7,246.0,42121.0,75381.0
2017-03-01,6,7,56.0,19984.0,28509.0
2017-03-01,7,7,260.0,7686.0,16596.0
2017-04-01,0,0,462.0,63058.0,226353.0
2017-04-01,1,0,66.0,31618.0,31618.0
2017-04-01,2,0,33.0,0.0,7980.0
2017-04-01,3,0,38.0,2674.0,15787.0
2017-04-01,4,0,85.0,41716.0,41716.0
2017-04-01,5,0,206.0,51918.0,86469.0
2017-04-01,6,0,65.0,27101.0,32631.0
2017-04-01,7,0,269.0,8047.0,19466.0
2017-05-01,0,8,516.0,67892.0,230060.0
2017-05-01,1,8,71.0,35271.0,35271.0
2017-05-01,2,8,30.0,968.0,8962.0
2017-05-01,3,8,44.0,2895.0,17236.0
2017-05-01,4,8,98.0,52172.0,52172.0
2017-05-01,5,8,233.0,57054.0,94654.0
2017-05-01,6,8,74.0,31168.0,36262.0
2017-05-01,7,8,265.0,9807.0,14761.0
2017-06-01,0,6,574.0,70910.0,303685.0
2017-06-01,1,6,78.0,36924.0,36924.0
2017-06-01,2,6,45.0,991.0,15843.0
