Row ID,Site,Year,Month,Month Date,Usage Charges,kW,Solar Production,Total Building Energy Use kWh,Time of Use Plan Flag,On Peak kWh,Shoulder Peak kWh,Off Peak kWh,Total Net Billable,Solar Savings,SRP charges Without Solar,Owner
121,EMSC and RM Library,2014,October,10/01/2014,22488.45,742,48129,258353,true,69734,96118,140630,306482,1811.45593855,24299.90593855,Tesla
122,Fire Stn 212 PD,2014,October,10/01/2014,4001.73,83,28452,43747,false,,,,,129.788763050001,4131.51876305,Tesla
123,Fire Stn 219,2014,October,10/01/2014,1197.87,31,921,11929,false,,,,,87.6664363499999,1285.53643635,City
124,Fire Stn 220,2014,October,10/01/2014,1797.82,41,2079,20118,false,,,,,165.4262417,1963.2462417,City
125,PD Fiesta Substn,2014,October,10/01/2014,3058.08,88,37010,43835,false,,,,,1159.91161025,4217.99161025,Tesla
126,RM Multigen,2014,October,10/01/2014,12675.34,242,39219,100674,false,,,,,-2384.2536769,10291.0863231,Tesla
127,RM PD,2014,October,10/01/2014,3143.71,65,17872,34021,false,,,,,83.7913661500002,3227.50136615,Tesla
128,Solfocus,2014,October,10/01/2014,2045.19,273,6806,26047,false,,,,,2090.9181868,4136.1081868,City
129,EMSC and RM Library,2014,November,11/01/2014,13605.73,651,34093,180551,true,30199,35496,148949,214644,-853.018214850001,12752.71178515,Tesla
130,Fire Stn 212 PD,2014,November,11/01/2014,2841.72,76,22643,33548,false,,,,,-62.6078734000007,2779.1121266,Tesla
131,Fire Stn 219,2014,November,11/01/2014,734.74,29,758,8324,false,,,,,70.3617277999999,805.1017278,City
132,Fire Stn 220,2014,November,11/01/2014,978.19,38,1589,11791,false,,,,,133.59684995,1111.78684995,City
133,PD Fiesta Substn,2014,November,11/01/2014,2429.66,74,32090,37034,false,,,,,512.6393933,2942.2993933,Tesla
134,RM Multigen,2014,November,11/01/2014,7158.44,216,27546,56269,false,,,,,-1722.57189095,5435.86810905,Tesla
135,RM PD,2014,November,11/01/2014,2625.99,65,19883,33170,false,,,,,-3.47819600000048,2622.511804,Tesla
136,Solfocus,2014,November,11/01/2014,1830.66,268,6153,27112,false,,,,,1654.4594706,3485.1194706,City
137,EMSC and RM Library,2014,December,12/01/2014,14990.73,641,29849,208850,true,32033,33099,173567,238699,-907.8249296,14082.9050704,Tesla
138,Fire Stn 212 PD,2014,December,12/01/2014,2698.44,67,17486,31735,false,,,,,-128.53179825,2569.90820175,Tesla
139,Fire Stn 219,2014,December,12/01/2014,815.74,33,605,8976,false,,,,,61.4124931999999,877.1524932,City
140,Fire Stn 220,2014,December,12/01/2014,915.18,29,1193,11190,false,,,,,76.4272649999999,991.607265,City
141,PD Fiesta Substn,2014,December,12/01/2014,2842.14,90,26453,39271,false,,,,,418.909378449999,3261.04937845,Tesla
142,RM Multigen,2014,December,12/01/2014,7590.02,228,24419,64002,false,,,,,-1520.4065501,6069.6134499,Tesla
143,RM PD,2014,December,12/01/2014,2400.15,63,15241,29549,false,,,,,2.3613070499996,2402.51130705,Tesla
144,Solfocus,2014,December,12/01/2014,592.89,262,5236,10062,false,,,,,1498.1413581,2091.0313581,City
145,EMSC and RM Library,2015,January,01/01/2015,16157.91,525,28475,208651,true,32892,33574,170930,237396,-2533.23795635,13624.67204365,Tesla
146,Fire Stn 212 PD,2015,January,01/01/2015,3075.83,79,17627,35964,false,,,,,-129.303690700001,2946.5263093,Tesla
